make,model,year,trim,fuel_type,drivetrain,city_fuel_economy,hwy_fuel_economy,comb_fuel_economy,transmission_type,min_price,med_price,image,expert_score,consumer_score,make_id,model_id,trim_id,fuel_type_id,drivetrain_id,image_id
acura,integra,2023,Integra 1.5T w/A-Spec & Tech Pkg Hatchback Sedan 4D,Gas,FWD,29,36,32,Automatic,29028,26896,https://cdn.jwplayer.com/v2/media/Wv7dF60J/poster.jpg,4.5,4.3,1,2,34,1,2,2
acura,mdx,2023,MDX Sport Utility 4D,Gas,FWD,19,26,22,Automatic,35760,42833,https://file.kelleybluebookimages.com/kbb/base/evox/CP/51006/2023-Acura-MDX-front_51006_032_1845x843_RE_cropped.png?downsize=750:*,4.5,4.2,1,3,35,1,2,7
acura,mdx,2023,MDX SH-AWD Sport Utility 4D,Gas,AWD,19,25,21,Automatic,37787,42833,https://file.kelleybluebookimages.com/kbb/base/evox/CP/51006/2023-Acura-MDX-front_51006_032_1845x843_RE_cropped.png?downsize=750:*,4.5,4.2,1,3,36,1,1,7
acura,mdx,2023,MDX Base w/Technology Pkg Sport Utility 4D,Gas,FWD,19,26,22,Automatic,40897,42833,https://file.kelleybluebookimages.com/kbb/base/evox/CP/51006/2023-Acura-MDX-front_51006_032_1845x843_RE_cropped.png?downsize=750:*,4.5,4.2,1,3,37,1,2,7
acura,mdx,2023,MDX SH-AWD w/Technology Pkg Sport Utility 4D,Gas,AWD,19,25,21,Automatic,42321,42833,https://file.kelleybluebookimages.com/kbb/base/evox/CP/51006/2023-Acura-MDX-front_51006_032_1845x843_RE_cropped.png?downsize=750:*,4.5,4.2,1,3,38,1,1,7
acura,mdx,2023,MDX SH-AWD w/A-Spec Pkg Sport Utility 4D,Gas,AWD,19,25,21,Automatic,43345,42833,https://file.kelleybluebookimages.com/kbb/base/evox/CP/51006/2023-Acura-MDX-front_51006_032_1845x843_RE_cropped.png?downsize=750:*,4.5,4.2,1,3,39,1,1,7
acura,mdx,2023,MDX SH-AWD w/Advance Pkg Sport Utility 4D,Gas,AWD,19,25,21,Automatic,46540,42833,https://file.kelleybluebookimages.com/kbb/base/evox/CP/51006/2023-Acura-MDX-front_51006_032_1845x843_RE_cropped.png?downsize=750:*,4.5,4.2,1,3,40,1,1,7
acura,mdx,2023,MDX Type S w/Advance Pkg Sport Utility 4D,Gas,AWD,17,21,19,Automatic,48837,42833,https://file.kelleybluebookimages.com/kbb/base/evox/CP/51006/2023-Acura-MDX-front_51006_032_1845x843_RE_cropped.png?downsize=750:*,4.5,4.2,1,3,41,1,1,7
acura,mdx,2023,MDX Type S Sport Utility 4D,Gas,AWD,17,21,19,Automatic,51321,42833,https://file.kelleybluebookimages.com/kbb/base/evox/CP/51006/2023-Acura-MDX-front_51006_032_1845x843_RE_cropped.png?downsize=750:*,4.5,4.2,1,3,42,1,1,7
acura,tlx,2023,TLX 2.0 Sedan 4D,Gas,FWD,22,31,25,Automatic,31034,36133,https://file.kelleybluebookimages.com/kbb/base/evox/CP/51840/2023-Acura-TLX-front_51840_032_1822x728_BV_cropped.png?downsize=750:*,4.2,4.3,1,5,43,1,2,8
acura,tlx,2023,TLX 2.0 w/Technology Pkg Sedan 4D,Gas,FWD,22,31,25,Automatic,31155,36133,https://file.kelleybluebookimages.com/kbb/base/evox/CP/51840/2023-Acura-TLX-front_51840_032_1822x728_BV_cropped.png?downsize=750:*,4.2,4.3,1,5,44,1,2,8
acura,tlx,2023,TLX 2.0 w/A-Spec Pkg Sedan 4D,Gas,FWD,22,30,25,Automatic,35704,36133,https://file.kelleybluebookimages.com/kbb/base/evox/CP/51840/2023-Acura-TLX-front_51840_032_1822x728_BV_cropped.png?downsize=750:*,4.2,4.3,1,5,45,1,2,8
acura,tlx,2023,TLX 2.0 SH-AWD w/A-Spec Pkg Sedan 4D,Gas,AWD,21,29,24,Automatic,36092,36133,https://file.kelleybluebookimages.com/kbb/base/evox/CP/51840/2023-Acura-TLX-front_51840_032_1822x728_BV_cropped.png?downsize=750:*,4.2,4.3,1,5,46,1,1,8
acura,tlx,2023,TLX 2.0 SH-AWD w/Advance Pkg Sedan 4D,Gas,AWD,21,29,24,Automatic,36174,36133,https://file.kelleybluebookimages.com/kbb/base/evox/CP/51840/2023-Acura-TLX-front_51840_032_1822x728_BV_cropped.png?downsize=750:*,4.2,4.3,1,5,47,1,1,8
acura,tlx,2023,TLX Type S Sedan 4D,Gas,AWD,19,25,21,Automatic,44939,36133,https://file.kelleybluebookimages.com/kbb/base/evox/CP/51840/2023-Acura-TLX-front_51840_032_1822x728_BV_cropped.png?downsize=750:*,4.2,4.3,1,5,48,1,1,8
acura,tlx,2023,TLX Type S w/High Performance Wheel & Tire Pkg Sedan 4D,Gas,AWD,19,24,21,Automatic,46337,36133,https://file.kelleybluebookimages.com/kbb/base/evox/CP/51840/2023-Acura-TLX-front_51840_032_1822x728_BV_cropped.png?downsize=750:*,4.2,4.3,1,5,49,1,1,8
